nom,ID,pays,discipline,année,médaille,saison
Courtney Orville Rumbolt,206100,Great Britain,Bobsleigh,1998,1,Winter
Cristian Zorzi,270412,Italy,Cross Country Skiing,2002,3,Winter
Curdin Morell,163207,Switzerland-1,Bobsleigh,1992,1,Winter
"Curtis ""Curt"" Tomasevicz",241349,United States-1,Bobsleigh,2010,2,Winter
"Curtis Jon ""Curt"" Giles",79333,Canada,Ice Hockey,1992,1,Winter
Curtis Shayne Joseph,110630,Canada,Ice Hockey,2002,1,Winter
"Cynthia Nicole ""Cindy"" Klassen",120664,Canada,Speed Skating,2002,6,Winter
Dag Bjrndalen,22697,Norway,Biathlon,1998,1,Winter
Daiki Ito,104097,Japan,Ski Jumping,2014,1,Winter
Daisuke Takahashi,235137,Japan,Figure Skating,2010,1,Winter
Dale Begg-Smith,17582,Australia,Freestyle Skiing,2006,2,Winter
Damian Grichting,84303,Switzerland,Curling,2002,1,Winter
Damjan Fras,72389,Slovenia,Ski Jumping,2002,1,Winter
Dan Ola Jonathan Ericsson (Marklund-),64241,Sweden,Ice Hockey,2014,1,Winter
Dana Antal,8105,Canada,Ice Hockey,2002,1,Winter
